Date,CompanyPostalCode,County,CategoryId,CategoryName,LaborRate,MeanIncome,HousePrice,BCI_County_TimeSeries
12/1/2021,95603,Placer County,151850,deck | patio,60,98616,98616,7984
12/1/2021,94553,Contra Costa County,151818,site preparation & maintenance,50,128626,128626,8263
12/1/2021,90230,Los Angeles County,151792,flooring,85,121365,121365,7876
12/1/2021,94954,Sonoma County,151726,blank template,75,117619,117619,7939
12/1/2021,95603,Placer County,151370,doors & casings,60,98616,98616,7984
12/1/2021,95603,Placer County,151371,window,60,98616,98616,7984
12/1/2021,95973,Butte County,151484,electrical work,50,100204,100204,7732
12/1/2021,92618,Orange County,151265,interior painting,55,145826,145826,8163
12/1/2021,94553,Contra Costa County,151457,electrical work,50,128626,128626,8263
12/1/2021,95603,Placer County,151366,electrical work,60,98616,98616,7984
12/1/2021,90606,Los Angeles County,151973,interior painting,35,87908,87908,7876
12/1/2021,95603,Placer County,151812,flooring,60,98616,98616,7984
12/1/2021,95603,Placer County,151389,drywall work,60,98616,98616,7984
12/1/2021,94553,Contra Costa County,151817,landscape,50,128626,128626,8263
12/1/2021,92806,Orange County,151755,interior painting,52,98413,98413,8163
12/1/2021,95973,Butte County,151491,site preparation & maintenance,50,100204,100204,7732
12/1/2021,95973,Butte County,151483,drywall work,50,100204,100204,7732
12/1/2021,95240,San Joaquin County,151444,flooring,65,73487,73487,7843
12/1/2021,94553,Contra Costa County,151816,foundation & retaining wall,50,128626,128626,8263
12/1/2021,95973,Butte County,151486,plumbing work,50,100204,100204,7732
12/1/2021,90220,Los Angeles County,151275,interior painting,40,71566,71566,7876
12/1/2021,95240,San Joaquin County,151226,exterior siding,68,73487,73487,7843
12/1/2021,95747,Placer County,151979,landscape,75,130719,130719,7984
12/1/2021,92653,Orange County,151651,plumbing work,50,155769,155769,8163
12/1/2021,95240,San Joaquin County,151546,flooring,65,73487,73487,7843
12/1/2021,95973,Butte County,151487,doors & casings,50,100204,100204,7732
12/1/2021,95603,Placer County,151367,roofing,60,98616,98616,7984
12/1/2021,95603,Placer County,151368,exterior siding,60,98616,98616,7984
12/1/2021,95240,San Joaquin County,151443,interior painting,65,73487,73487,7843
12/1/2021,95240,San Joaquin County,151446,acoustic panel ceiling tile,65,73487,73487,7843
12/1/2021,95973,Butte County,151485,interior painting,50,100204,100204,7732
12/1/2021,90230,Los Angeles County,151787,hvac,85,121365,121365,7876
12/1/2021,95240,San Joaquin County,151445,drywall work,65,73487,73487,7843
12/1/2021,92618,Orange County,151266,flooring,55,145826,145826,8163
12/1/2021,95603,Placer County,151315,flooring,60,98616,98616,7984
12/1/2021,95240,San Joaquin County,151441,electrical work,65,73487,73487,7843
12/1/2021,95688,Solano County,151589,blank template,71,124779,124779,7932
12/1/2021,94553,Contra Costa County,151814,paving work,50,128626,128626,8263
12/1/2021,95240,San Joaquin County,151547,fireplace,65,73487,73487,7843
12/1/2020,94941,Marin County,119191,site preparation & maintenance,75,246206,246206,7501
12/1/2020,90220,Los Angeles County,119664,flooring,40,71566,71566,6964
12/1/2020,90249,Los Angeles County,120068,window,47,82585,82585,6964
12/1/2020,95603,Placer County,119505,drywall work,60,98616,98616,7059
12/1/2020,94941,Marin County,117947,site preparation & maintenance,75,246206,246206,7501
12/1/2020,95337,San Joaquin County,118503,roofing,45,103772,103772,6935
12/1/2020,94010,San Mateo County,118508,flooring,50,264264,264264,7798
